2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 30% Accuracy: 85.07%, Execution time: 93.82845830917358
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 40% Accuracy: 83.85%, Execution time: 98.93295574188232
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 50% Accuracy: 83.66%, Execution time: 107.46625137329102
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 90% Accuracy: 82.61%, Execution time: 111.22920060157776
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 60% Accuracy: 85.05%, Execution time: 113.98765254020691
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 80% Accuracy: 78.80%, Execution time: 113.79981684684753
2025-05-14 00:57:34,519 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 70% Accuracy: 83.70%, Execution time: 114.47990322113037
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 10% Accuracy: 82.95%, Execution time: 82.52791452407837
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 20% Accuracy: 83.95%, Execution time: 128.25999927520752
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 30% Accuracy: 85.07%, Execution time: 152.12519311904907
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 40% Accuracy: 83.85%, Execution time: 162.5344533920288
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 90% Accuracy: 82.61%, Execution time: 164.17919540405273
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 50% Accuracy: 83.66%, Execution time: 172.6846821308136
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 80% Accuracy: 78.80%, Execution time: 174.45563888549805
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 60% Accuracy: 85.05%, Execution time: 178.18709564208984
2025-05-14 00:57:34,524 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: soft, Control Ratio: 70% Accuracy: 83.70%, Execution time: 178.4612522125244
2025-05-14 01:02:30,338 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 10% Accuracy: 83.07%, Execution time: 56.001530170440674
2025-05-14 01:02:30,338 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 20% Accuracy: 83.27%, Execution time: 70.38890385627747
2025-05-14 01:02:30,338 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 30% Accuracy: 85.07%, Execution time: 93.7182719707489
2025-05-14 01:02:30,392 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 40% Accuracy: 84.21%, Execution time: 101.09451651573181
2025-05-14 01:02:30,393 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 50% Accuracy: 83.66%, Execution time: 107.60314750671387
2025-05-14 01:02:30,393 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 90% Accuracy: 82.61%, Execution time: 110.148690700531
2025-05-14 01:02:30,393 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 80% Accuracy: 78.80%, Execution time: 111.43312621116638
2025-05-14 01:02:30,393 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 60% Accuracy: 84.78%, Execution time: 112.90572762489319
2025-05-14 01:02:30,393 Method: mtree, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 70% Accuracy: 84.06%, Execution time: 113.27580237388611
2025-05-14 01:02:30,407 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 10% Accuracy: 83.07%, Execution time: 73.57254934310913
2025-05-14 01:02:30,407 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 20% Accuracy: 83.27%, Execution time: 126.03633546829224
2025-05-14 01:02:30,407 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 30% Accuracy: 85.07%, Execution time: 143.83345675468445
2025-05-14 01:02:30,407 Method: bruteforce, Normalization technique: decimal_scaling, Metric: euclidean, k: 10, Voting Method: hard, Control Ratio: 40% Accuracy: 84.21%, Execution time: 166.0868101119995
